,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,LoanAmount_log,Total_income
0,LP001002,1,0,0,1,0,5849,0.0,128.0,360.0,1.0,2,1,4.852030263919617,1.5793972284736488
1,LP001003,1,1,1,1,0,4583,1508.0,128.0,360.0,1.0,0,0,4.852030263919617,1.5793972284736488
2,LP001005,1,1,0,1,1,3000,0.0,66.0,360.0,1.0,2,1,4.189654742026425,1.4326183300679207
3,LP001006,1,1,0,0,0,2583,2358.0,120.0,360.0,1.0,2,1,4.787491742782046,1.5660066297600124
4,LP001008,1,0,0,1,0,6000,0.0,141.0,360.0,1.0,2,1,4.948759890378168,1.599137017997089
5,LP001011,1,1,2,1,1,5417,4196.0,267.0,360.0,1.0,2,1,5.58724865840025,1.7204869760912846
6,LP001013,1,1,0,0,0,2333,1516.0,95.0,360.0,1.0,2,1,4.553876891600541,1.5159789342503565
7,LP001014,1,1,3,1,0,3036,2504.0,158.0,360.0,0.0,1,0,5.062595033026967,1.6218792042124106
8,LP001018,1,1,2,1,0,4006,1526.0,168.0,360.0,1.0,2,1,5.123963979403259,1.633928354228994
9,LP001020,1,1,1,1,0,12841,10968.0,349.0,360.0,1.0,1,0,5.855071922202427,1.7673082808687564
10,LP001024,1,1,2,1,0,3200,700.0,70.0,360.0,1.0,2,1,4.248495242049359,1.4465648595477707
11,LP001027,1,1,2,1,0,2500,1840.0,109.0,360.0,1.0,2,1,4.6913478822291435,1.5457199360997627
12,LP001028,1,1,2,1,0,3073,8106.0,200.0,360.0,1.0,2,1,5.298317366548036,1.6673892921414593
13,LP001029,1,0,0,1,0,1853,2840.0,114.0,360.0,1.0,0,0,4.736198448394496,1.55523479881416
14,LP001030,1,1,2,1,0,1299,1086.0,17.0,120.0,1.0,2,1,2.833213344056216,1.0414115247747806
15,LP001032,1,0,0,1,0,4950,0.0,125.0,360.0,1.0,2,1,4.8283137373023015,1.5744972839952205
16,LP001034,1,0,1,0,0,3596,0.0,100.0,240.0,1.0,2,1,4.605170185988092,1.5271796258079011
17,LP001036,0,0,0,1,0,3510,0.0,76.0,360.0,0.0,2,0,4.330733340286331,1.465736890326896
18,LP001038,1,1,0,0,0,4887,0.0,133.0,360.0,1.0,0,0,4.890349128221754,1.5872636973025485
19,LP001041,1,1,0,1,0,2600,3500.0,115.0,360.0,1.0,2,1,4.74493212836325,1.557077128137304
20,LP001043,1,1,0,0,0,7660,0.0,104.0,360.0,0.0,2,0,4.6443908991413725,1.535660233235027
21,LP001046,1,1,1,1,0,5955,5625.0,315.0,360.0,1.0,2,1,5.752572638825633,1.7496471701967484
22,LP001047,1,1,0,0,0,2600,1911.0,116.0,360.0,0.0,1,0,4.7535901911063645,1.5589001622577283
23,LP001050,1,1,2,0,0,3365,1917.0,112.0,360.0,0.0,0,0,4.718498871295094,1.5514907132708071
24,LP001052,1,1,1,1,0,3717,2925.0,151.0,360.0,1.0,1,0,5.017279836814924,1.612887921665338
25,LP001066,1,1,0,1,1,9560,0.0,191.0,360.0,1.0,1,1,5.25227342804663,1.6586610167850495
26,LP001068,1,1,0,1,0,2799,2253.0,122.0,360.0,1.0,1,1,4.804021044733257,1.569453284877013
27,LP001073,1,1,2,0,0,4226,1040.0,110.0,360.0,1.0,2,1,4.700480365792417,1.5476647089811362
28,LP001086,1,0,0,0,0,1442,0.0,35.0,360.0,1.0,2,0,3.5553480614894135,1.2684529660545276
29,LP001087,0,0,2,1,0,3750,2083.0,120.0,360.0,1.0,1,1,4.787491742782046,1.5660066297600124
30,LP001091,1,1,1,1,0,4166,3369.0,201.0,360.0,1.0,2,0,5.303304908059076,1.6683301937789266
31,LP001095,1,0,0,1,0,3167,0.0,74.0,360.0,1.0,2,0,4.30406509320417,1.4595599466308458
32,LP001097,1,0,1,1,1,4692,0.0,106.0,360.0,1.0,0,0,4.663439094112067,1.53975317897557
33,LP001098,1,1,0,1,0,3500,1667.0,114.0,360.0,1.0,1,1,4.736198448394496,1.55523479881416
34,LP001100,1,0,3,1,0,12500,3000.0,320.0,360.0,1.0,0,0,5.768320995793772,1.7523810495773449
35,LP001106,1,1,0,1,0,2275,2067.0,128.0,360.0,1.0,2,1,4.852030263919617,1.5793972284736488
36,LP001109,1,1,0,1,0,1828,1330.0,100.0,360.0,0.0,2,0,4.605170185988092,1.5271796258079011
37,LP001112,0,1,0,1,0,3667,1459.0,144.0,360.0,1.0,1,1,4.969813299576001,1.6033822739252712
38,LP001114,1,0,0,1,0,4166,7210.0,184.0,360.0,1.0,2,1,5.214935757608986,1.6515267696058114
39,LP001116,1,0,0,0,0,3748,1668.0,110.0,360.0,1.0,1,1,4.700480365792417,1.5476647089811362
40,LP001119,1,0,0,1,0,3600,0.0,80.0,360.0,1.0,2,0,4.382026634673881,1.4775113193551406
41,LP001120,1,0,0,1,0,1800,1213.0,47.0,360.0,1.0,2,1,3.8501476017100584,1.3481114856713152
42,LP001123,1,1,0,1,0,2400,0.0,75.0,360.0,1.0,2,1,4.31748811353631,1.4626737779454593
43,LP001131,1,1,0,1,0,3941,2336.0,134.0,360.0,1.0,1,1,4.897839799950911,1.5887942507576207
44,LP001136,1,1,0,0,1,4695,0.0,96.0,360.0,1.0,2,1,4.564348191467836,1.5182757199460604
45,LP001137,0,0,0,1,0,3410,0.0,88.0,360.0,1.0,2,1,4.477336814478207,1.4990284086108943
46,LP001138,1,1,1,1,0,5649,0.0,44.0,360.0,1.0,2,1,3.784189633918261,1.3308317646057786
47,LP001144,1,1,0,1,0,5821,0.0,144.0,360.0,1.0,2,1,4.969813299576001,1.6033822739252712
48,LP001146,0,1,0,1,0,2645,3440.0,120.0,360.0,0.0,2,0,4.787491742782046,1.5660066297600124
49,LP001151,0,0,0,1,0,4000,2275.0,144.0,360.0,1.0,1,1,4.969813299576001,1.6033822739252712
50,LP001155,0,1,0,0,0,1928,1644.0,100.0,360.0,1.0,1,1,4.605170185988092,1.5271796258079011
51,LP001157,0,0,0,1,0,3086,0.0,120.0,360.0,1.0,1,1,4.787491742782046,1.5660066297600124
52,LP001164,0,0,0,1,0,4230,0.0,112.0,360.0,1.0,1,0,4.718498871295094,1.5514907132708071
53,LP001179,1,1,2,1,0,4616,0.0,134.0,360.0,1.0,2,0,4.897839799950911,1.5887942507576207
54,LP001186,0,1,1,1,1,11500,0.0,286.0,360.0,0.0,2,0,5.655991810819852,1.7327154807183742
55,LP001194,1,1,2,1,0,2708,1167.0,97.0,360.0,1.0,1,1,4.574710978503383,1.520543522634296
56,LP001195,1,1,0,1,0,2132,1591.0,96.0,360.0,1.0,1,1,4.564348191467836,1.5182757199460604
57,LP001197,1,1,0,1,0,3366,2200.0,135.0,360.0,1.0,0,0,4.90527477843843,1.590311111517258
58,LP001198,1,1,1,1,0,8080,2250.0,180.0,360.0,1.0,2,1,5.19295685089021,1.6473032557366176
59,LP001199,1,1,2,0,0,3357,2859.0,144.0,360.0,1.0,2,1,4.969813299576001,1.6033822739252712
60,LP001205,1,1,0,1,0,2500,3796.0,120.0,360.0,1.0,2,1,4.787491742782046,1.5660066297600124
61,LP001206,1,1,3,1,0,3029,0.0,99.0,360.0,1.0,2,1,4.59511985013459,1.524994838195378
62,LP001207,1,1,0,0,1,2609,3449.0,165.0,180.0,0.0,0,0,5.10594547390058,1.6304056399335578
63,LP001213,1,1,1,1,0,4945,0.0,128.0,360.0,0.0,0,0,4.852030263919617,1.5793972284736488
64,LP001222,0,0,0,1,0,4166,0.0,116.0,360.0,0.0,1,0,4.7535901911063645,1.5589001622577283
65,LP001225,1,1,0,1,0,5726,4595.0,258.0,360.0,1.0,1,0,5.552959584921617,1.7143310441709676
66,LP001228,1,0,0,0,0,3200,2254.0,126.0,180.0,0.0,2,0,4.836281906951478,1.5761462244678353
